time	8kHz80dB	8kHz70dB	8kHz60dB	8kHz55dB	8kHz50dB	8kHz50dB	8kHz45dB	8kHz45dB	8kHz40dB	8kHz40dB	8kHz35dB	8kHz35dB	8kHz30dB	8kHz30dB
0	0.0562827	-0.0742787	-0.396389	0.0878514	-0.186963	-0.0484683	0.0883645	-0.228507	-0.0511238	-0.145334	-0.188353	-0.230761	0.257353	0.0675377
4.09601e-05	0.076873	-0.0747935	-0.403086	0.094471	-0.196789	-0.0177183	0.0570416	-0.249575	-0.0224399	-0.144044	-0.163217	-0.225629	0.277475	0.0664777
8.19202e-05	0.0954889	-0.07785	-0.400302	0.102844	-0.20598	0.0287209	0.0197516	-0.25963	-0.00330857	-0.143887	-0.130709	-0.22923	0.292434	0.0713839
0.00012288	0.0999018	-0.0785355	-0.392796	0.107954	-0.20603	0.0869928	-0.00953758	-0.251858	0.00725032	-0.146355	-0.103183	-0.230684	0.293173	0.0742707
0.00016384	0.086569	-0.0689381	-0.390093	0.107804	-0.187078	0.14945	-0.0184677	-0.22789	0.0123119	-0.153664	-0.0919691	-0.218849	0.279621	0.0707625
0.000204801	0.060853	-0.0530045	-0.400752	0.101439	-0.145707	0.207824	-0.0044955	-0.195483	0.0157259	-0.166289	-0.100134	-0.190161	0.256757	0.0643052
0.000245761	0.0325436	-0.0444066	-0.425741	0.089338	-0.0907879	0.25774	0.0219718	-0.164151	0.0176541	-0.183394	-0.122696	-0.149933	0.232829	0.0625505
0.000286721	0.00967157	-0.0522581	-0.455402	0.0751178	-0.0377569	0.296203	0.0438996	-0.142969	0.0140208	-0.199914	-0.148235	-0.109772	0.217892	0.0704117
0.000327681	-0.00904986	-0.0738191	-0.475857	0.0645791	-0.00127708	0.321362	0.0467418	-0.135667	0.00647384	-0.204989	-0.165162	-0.0806546	0.221023	0.0882482
0.000368641	-0.0322313	-0.0983558	-0.48444	0.0654192	0.0148795	0.335185	0.0253194	-0.136944	0.0050426	-0.191862	-0.168465	-0.0668774	0.24372	0.112584
0.000409601	-0.0641898	-0.115392	-0.489335	0.0812912	0.0171794	0.341314	-0.01655	-0.136227	0.0185011	-0.162833	-0.163968	-0.0651797	0.277345	0.136593
0.000450561	-0.0969015	-0.119392	-0.495782	0.106978	0.0110855	0.343825	-0.0685391	-0.124176	0.0447509	-0.12828	-0.161725	-0.0691463	0.308552	0.151438
0.000491521	-0.118	-0.111677	-0.50144	0.132076	-0.000627777	0.346087	-0.117671	-0.0969653	0.0746471	-0.103009	-0.164612	-0.0721195	0.326764	0.149499
0.000532481	-0.124223	-0.10028	-0.501845	0.146663	-0.0126847	0.350901	-0.154801	-0.0590991	0.0984272	-0.096646	-0.168401	-0.0680876	0.329038	0.128695
0.000573441	-0.122832	-0.0954572	-0.494856	0.145761	-0.0171028	0.362803	-0.178838	-0.0200988	0.108598	-0.109359	-0.167014	-0.0566477	0.318741	0.0981143
0.000614402	-0.118754	-0.101872	-0.483266	0.130008	-0.0098893	0.38349	-0.191437	0.0167412	0.102237	-0.133292	-0.155756	-0.0445824	0.303078	0.0718854
0.000655362	-0.116271	-0.118039	-0.472093	0.103053	0.0037033	0.407983	-0.192409	0.0550226	0.085299	-0.157366	-0.131988	-0.0390016	0.292653	0.0570235
0.000696322	-0.126543	-0.138187	-0.466493	0.0697156	0.0149645	0.429001	-0.181788	0.0966967	0.0707356	-0.174821	-0.100551	-0.0417717	0.297715	0.0514441
0.000737282	-0.159863	-0.15691	-0.469322	0.0374009	0.0181174	0.440638	-0.163039	0.139869	0.0697213	-0.18258	-0.0730881	-0.0501821	0.319149	0.0519158
0.000778242	-0.212365	-0.17477	-0.47877	0.0177063	0.0124632	0.439059	-0.14217	0.180742	0.0794344	-0.179328	-0.0583769	-0.0602139	0.346055	0.057291
0.000819202	-0.267242	-0.195703	-0.488734	0.0165951	-0.00166941	0.424212	-0.125452	0.217162	0.0885467	-0.167707	-0.0554084	-0.0681311	0.362986	0.0648691
0.000860162	-0.304594	-0.222155	-0.488071	0.0254497	-0.0253294	0.403721	-0.118636	0.248712	0.0896896	-0.149587	-0.059474	-0.0698751	0.358127	0.0713083
0.000901122	-0.313145	-0.252761	-0.466024	0.0287357	-0.0583348	0.388418	-0.126017	0.274541	0.0830323	-0.126349	-0.0674514	-0.063994	0.330336	0.073528
0.000942082	-0.29522	-0.279872	-0.418666	0.0170857	-0.096044	0.382523	-0.146351	0.295508	0.074756	-0.104215	-0.0748125	-0.0526256	0.289534	0.0699213
0.000983043	-0.2639	-0.2917	-0.353525	-0.00508023	-0.128643	0.382645	-0.172307	0.314849	0.0712266	-0.0923036	-0.0760353	-0.0380675	0.250332	0.0614337
0.001024	-0.237052	-0.283003	-0.288048	-0.0239529	-0.146479	0.380507	-0.193646	0.334407	0.0733241	-0.0961704	-0.0672243	-0.0200756	0.225126	0.0484119
0.00106496	-0.227201	-0.260238	-0.243243	-0.0298859	-0.143352	0.368617	-0.201613	0.351211	0.0765087	-0.111701	-0.0489462	0.0023121	0.219063	0.0304468
0.00110592	-0.232529	-0.234621	-0.231711	-0.0249487	-0.121013	0.345963	-0.193866	0.356831	0.0746553	-0.130638	-0.0309872	0.0269652	0.22689	0.0105598
0.00114688	-0.243154	-0.214146	-0.2497	-0.0154615	-0.0901357	0.316395	-0.175697	0.342789	0.0641103	-0.148791	-0.026077	0.0524202	0.236007	-0.00779461
0.00118784	-0.250276	-0.199702	-0.276579	-0.00569483	-0.0641462	0.283052	-0.156371	0.3104	0.0444988	-0.164625	-0.0373792	0.0769184	0.23364	-0.0236372
0.0012288	-0.251739	-0.187918	-0.289474	0.00321282	-0.0501754	0.249724	-0.141635	0.274402	0.0191779	-0.174026	-0.0559774	0.0962857	0.213391	-0.0373122
0.00126976	-0.252519	-0.174264	-0.278296	0.0120366	-0.0505189	0.220627	-0.131123	0.25412	-0.00585905	-0.171414	-0.0671108	0.10675	0.176391	-0.0478677
0.00131072	-0.261469	-0.157687	-0.248247	0.0204581	-0.0622217	0.200509	-0.122318	0.259415	-0.0212382	-0.153502	-0.0606801	0.108563	0.128722	-0.0533907
0.00135168	-0.281645	-0.141667	-0.2088	0.0269254	-0.0775706	0.192391	-0.115491	0.28339	-0.0163849	-0.124847	-0.0364316	0.10556	0.0803358	-0.052857
0.00139264	-0.303795	-0.129323	-0.167269	0.0280582	-0.0867815	0.192755	-0.111197	0.307311	0.0103254	-0.0989984	-0.000834734	0.103426	0.0423017	-0.0485459
0.0014336	-0.316772	-0.122633	-0.129241	0.0226784	-0.082693	0.19392	-0.107035	0.311404	0.0433361	-0.0875649	0.0380981	0.104418	0.0221449	-0.0470441
0.00147456	-0.319719	-0.124054	-0.0973328	0.0140229	-0.0661369	0.193526	-0.102451	0.286439	0.0621435	-0.0908145	0.0728245	0.104474	0.01815	-0.0527026
0.00151552	-0.319052	-0.132742	-0.0707033	0.0049447	-0.0434302	0.193429	-0.0999467	0.238234	0.0565251	-0.100249	0.0968206	0.0994034	0.019926	-0.0634584
0.00155648	-0.318443	-0.142461	-0.0477164	-0.00410154	-0.0182888	0.19223	-0.102284	0.182225	0.0287525	-0.108402	0.108925	0.0907617	0.0165563	-0.0737931
0.00159744	-0.3187	-0.144863	-0.0269316	-0.0125152	0.0105201	0.187567	-0.108853	0.132791	-0.00975306	-0.116083	0.11206	0.0839735	0.000437058	-0.0797552
0.0016384	-0.31813	-0.137448	-0.00442815	-0.0189564	0.0431985	0.179742	-0.116969	0.0983996	-0.0439554	-0.128089	0.107128	0.0832679	-0.0308667	-0.0807639
0.00167936	-0.313523	-0.12357	0.0233477	-0.0220645	0.07617	0.168031	-0.122874	0.0806674	-0.0627761	-0.144879	0.0931766	0.0900967	-0.0733613	-0.0782168
0.00172032	-0.304529	-0.10489	0.0537963	-0.0238683	0.104096	0.152297	-0.122014	0.0737964	-0.0696122	-0.162812	0.0716364	0.103052	-0.118648	-0.0752578
0.00176128	-0.293208	-0.0777342	0.0814622	-0.027907	0.121377	0.136882	-0.113154	0.0664753	-0.0781215	-0.179062	0.0519666	0.119636	-0.157463	-0.0745014
0.00180224	-0.279112	-0.0376823	0.0983668	-0.03505	0.125238	0.129219	-0.0980947	0.0499444	-0.0944809	-0.191156	0.0492239	0.138906	-0.184361	-0.0760604
0.0018432	-0.261729	0.0122681	0.0973598	-0.0444543	0.117116	0.134874	-0.0804899	0.0255041	-0.111713	-0.199156	0.0701769	0.160659	-0.1995	-0.0779235
0.00188416	-0.245407	0.0604963	0.0811032	-0.0518274	0.105831	0.155547	-0.0656001	0.00109077	-0.118397	-0.208693	0.106755	0.184186	-0.209146	-0.076736
0.00192512	-0.236566	0.0941626	0.0649757	-0.0499679	0.104046	0.186385	-0.0554957	-0.016995	-0.108662	-0.224951	0.143003	0.209332	-0.220928	-0.0734403
0.00196609	-0.234079	0.111923	0.0644206	-0.0358072	0.119822	0.214411	-0.0467617	-0.0250206	-0.0838561	-0.246777	0.165601	0.234908	-0.236702	-0.0761079
0.00200705	-0.23024	0.122337	0.0833156	-0.0138936	0.150504	0.225824	-0.0332695	-0.0223122	-0.0493179	-0.268303	0.168652	0.25644	-0.250831	-0.0909363
0.00204801	-0.219053	0.133811	0.112241	0.00587142	0.186521	0.21579	-0.0130568	-0.0141331	-0.0123464	-0.282187	0.153439	0.266475	-0.257531	-0.114838
0.00208897	-0.20133	0.147548	0.1401	0.0110246	0.218329	0.190745	0.00908498	-0.0105476	0.0205852	-0.282434	0.126296	0.26206	-0.255196	-0.138389
0.00212993	-0.18035	0.159628	0.16463	-0.00313403	0.237726	0.159918	0.025169	-0.0191035	0.0447656	-0.265795	0.0951239	0.250691	-0.249242	-0.15251
0.00217089	-0.158927	0.166065	0.193171	-0.0287784	0.241102	0.130671	0.0282219	-0.040239	0.0552453	-0.234114	0.0676358	0.245237	-0.248479	-0.154324
0.00221185	-0.13926	0.164054	0.232291	-0.0528722	0.232461	0.108495	0.0193216	-0.0672162	0.0498881	-0.196954	0.0500969	0.253394	-0.258652	-0.146944
0.00225281	-0.123552	0.149954	0.277847	-0.0662045	0.222036	0.0926499	0.00753702	-0.0913291	0.0322021	-0.165288	0.0462241	0.271985	-0.282553	-0.13574
0.00229377	-0.111002	0.125138	0.320508	-0.0664802	0.220317	0.0757468	0.00184176	-0.108732	0.010686	-0.142792	0.055166	0.292926	-0.317061	-0.126456
0.00233473	-0.0960351	0.100433	0.356977	-0.057249	0.230286	0.0524205	0.00745074	-0.121747	-0.00600786	-0.126208	0.0727953	0.312465	-0.353396	-0.123279
0.00237569	-0.0770073	0.085652	0.393791	-0.0446457	0.24768	0.0239398	0.0271187	-0.1335	-0.0136584	-0.111027	0.0946588	0.328567	-0.382093	-0.128757
0.00241665	-0.0577118	0.0818381	0.435073	-0.029363	0.267788	-0.00562273	0.060296	-0.146161	-0.0154008	-0.0951653	0.11463	0.335036	-0.396429	-0.142998
0.00245761	-0.0404774	0.0837067	0.471617	-0.00797072	0.288074	-0.03201	0.0992565	-0.163953	-0.0181889	-0.0818186	0.124671	0.326093	-0.394997	-0.163854
0.00249857	-0.0265042	0.0848667	0.488489	0.0187279	0.308448	-0.0490855	0.127959	-0.188977	-0.0265766	-0.0774068	0.118589	0.301088	-0.377895	-0.187754
0.00253953	-0.01889	0.0820592	0.481388	0.0478913	0.328384	-0.0538334	0.133013	-0.216857	-0.0378346	-0.0834364	0.0954533	0.265685	-0.347051	-0.210033
0.00258049	-0.0176505	0.0744477	0.462329	0.0779207	0.34357	-0.0496185	0.118054	-0.240177	-0.047853	-0.0916171	0.0620516	0.231095	-0.310864	-0.224348
0.00262145	-0.0162149	0.0606856	0.449194	0.104603	0.349274	-0.0450485	0.100408	-0.251088	-0.0548456	-0.0911445	0.0318364	0.20717	-0.284514	-0.225665
0.00266241	-0.00886292	0.0401929	0.453435	0.120644	0.34172	-0.048373	0.0945447	-0.244734	-0.0549823	-0.0791256	0.0194476	0.197167	-0.279896	-0.218375
