Time,Time (ms),Time (delay corrected), C, R, AVG,Baseline corrected
0.0001,0.1,-14.9,-1.47E-06,-1.48E-06,-1.48E-06,0.00E+00
0.0002,0.2,-14.8,-1.45E-06,-1.47E-06,-1.46E-06,1.51E-08
0.0003,0.3,-14.7,-1.45E-06,-1.46E-06,-1.46E-06,2.05E-08
0.0004,0.4,-14.6,-1.46E-06,-1.46E-06,-1.46E-06,1.63E-08
0.0005,0.5,-14.5,-1.46E-06,-1.46E-06,-1.46E-06,1.74E-08
0.0006,0.6,-14.4,-1.46E-06,-1.46E-06,-1.46E-06,2.05E-08
0.0007,0.7,-14.3,-1.45E-06,-1.46E-06,-1.45E-06,2.52E-08
0.0008,0.8,-14.2,-1.44E-06,-1.46E-06,-1.45E-06,2.95E-08
0.0009,0.9,-14.1,-1.43E-06,-1.46E-06,-1.44E-06,3.33E-08
0.001,0.9999999,-14.0000001,-1.43E-06,-1.45E-06,-1.44E-06,3.91E-08
0.0011,1.1,-13.9,-1.43E-06,-1.42E-06,-1.42E-06,5.61E-08
0.0012,1.2,-13.8,-1.41E-06,-1.37E-06,-1.39E-06,8.60E-08
0.0013,1.3,-13.7,-1.39E-06,-1.34E-06,-1.36E-06,1.17E-07
0.0014,1.4,-13.6,-1.37E-06,-1.31E-06,-1.34E-06,1.36E-07
0.0015,1.5,-13.5,-1.37E-06,-1.30E-06,-1.34E-06,1.42E-07
0.0016,1.6,-13.4,-1.38E-06,-1.29E-06,-1.33E-06,1.45E-07
0.0017,1.7,-13.3,-1.38E-06,-1.28E-06,-1.33E-06,1.50E-07
0.0018,1.8,-13.2,-1.36E-06,-1.28E-06,-1.32E-06,1.59E-07
0.0019,1.9,-13.1,-1.33E-06,-1.30E-06,-1.31E-06,1.65E-07
0.002,2,-13,-1.32E-06,-1.30E-06,-1.31E-06,1.68E-07
0.0021,2.1,-12.9,-1.32E-06,-1.31E-06,-1.31E-06,1.65E-07
0.0022,2.2,-12.8,-1.33E-06,-1.30E-06,-1.31E-06,1.64E-07
0.0023,2.3,-12.7,-1.32E-06,-1.29E-06,-1.30E-06,1.75E-07
0.0024,2.4,-12.6,-1.29E-06,-1.27E-06,-1.28E-06,2.01E-07
0.0025,2.5,-12.5,-1.27E-06,-1.24E-06,-1.26E-06,2.22E-07
0.0026,2.6,-12.4,-1.29E-06,-1.24E-06,-1.26E-06,2.16E-07
0.0027,2.7,-12.3,-1.32E-06,-1.24E-06,-1.28E-06,1.93E-07
0.0028,2.8,-12.2,-1.34E-06,-1.25E-06,-1.30E-06,1.81E-07
0.0029,2.9,-12.1,-1.35E-06,-1.24E-06,-1.29E-06,1.83E-07
0.003,3,-12,-1.35E-06,-1.23E-06,-1.29E-06,1.87E-07
0.0031,3.1,-11.9,-1.36E-06,-1.24E-06,-1.30E-06,1.79E-07
