Time, C, R, AVG
0.0001, -5.919485E-07, -1.141741E-06, -8.714266E-07
0.0002, -5.96395E-07, -1.160698E-06, -8.832489E-07
0.0003, -6.008565E-07, -1.157535E-06, -8.838346E-07
0.0004, -6.115706E-07, -1.148214E-06, -8.843643E-07
0.0005, -6.089452E-07, -1.153315E-06, -8.856664E-07
0.0006, -5.930791E-07, -1.176712E-06, -8.89759E-07
0.0007, -5.741931E-07, -1.199668E-06, -8.92143E-07
0.0008, -5.685098E-07, -1.206391E-06, -8.92766E-07
0.0009, -5.791479E-07, -1.205063E-06, -8.973212E-07
0.0009999999, -5.888375E-07, -1.198825E-06, -8.989143E-07
0.0011, -5.968882E-07, -1.189621E-06, -8.981942E-07
0.0012, -6.136497E-07, -1.167611E-06, -8.95247E-07
0.0013, -6.400704E-07, -1.140171E-06, -8.942881E-07
0.0014, -6.606485E-07, -1.117699E-06, -8.929823E-07
0.0015, -6.637823E-07, -1.11637E-06, -8.938479E-07
0.0016, -6.483108E-07, -1.127386E-06, -8.918407E-07
0.0017, -6.296904E-07, -1.14817E-06, -8.932511E-07
0.0018, -6.097877E-07, -1.166797E-06, -8.92934E-07
0.0019, -5.814548E-07, -1.182128E-06, -8.867971E-07
0.002, -5.564301E-07, -1.19048E-06, -8.787388E-07
0.0021, -5.323161E-07, -1.195265E-06, -8.693151E-07
0.0022, -5.266481E-07, -1.180257E-06, -8.588991E-07
0.0023, -5.270426E-07, -1.161601E-06, -8.496097E-07
0.0024, -5.27422E-07, -1.149565E-06, -8.436778E-07
0.0025, -5.115179E-07, -1.156889E-06, -8.395816E-07
0.0026, -4.873128E-07, -1.162063E-06, -8.303109E-07
0.0027, -4.662566E-07, -1.158482E-06, -8.181377E-07
0.0028, -4.544271E-07, -1.167824E-06, -8.170707E-07
0.0029, -4.458985E-07, -1.190282E-06, -8.242933E-07
0.003, -4.457316E-07, -1.199595E-06, -8.289455E-07
0.0031, -4.527503E-07, -1.185445E-06, -8.252036E-07
0.0032, -4.592911E-07, -1.164705E-06, -8.178766E-07
0.0033, -4.565595E-07, -1.156853E-06, -8.125418E-07
0.0034, -4.502238E-07, -1.153623E-06, -8.077852E-07
0.0035, -4.533953E-07, -1.15584E-06, -8.104712E-07
0.0036, -4.594655E-07, -1.169446E-06, -8.203723E-07
0.0037, -4.654523E-07, -1.198127E-06, -8.378954E-07
0.0038, -4.748308E-07, -1.225839E-06, -8.565934E-07
0.0039, -4.81675E-07, -1.227828E-06, -8.609696E-07
