Time, C, R, AVG
4E-05, -1.518283E-07, -9.068552E-08, -1.208628E-07
8E-05, -1.55274E-07, -9.897568E-08, -1.267619E-07
0.00012, -1.598057E-07, -1.013883E-07, -1.302204E-07
0.00016, -1.677862E-07, -9.340732E-08, -1.301173E-07
0.0002, -1.741635E-07, -8.638666E-08, -1.297093E-07
0.00024, -1.76514E-07, -9.130395E-08, -1.333597E-07
0.00028, -1.743038E-07, -1.086096E-07, -1.410333E-07
0.00032, -1.676824E-07, -1.21545E-07, -1.443163E-07
0.00036, -1.645601E-07, -1.282446E-07, -1.461683E-07
0.0004, -1.713341E-07, -1.367369E-07, -1.538125E-07
0.00044, -1.803304E-07, -1.491803E-07, -1.645545E-07
0.00048, -1.854402E-07, -1.597626E-07, -1.724359E-07
0.00052, -1.793404E-07, -1.649742E-07, -1.720647E-07
0.00056, -1.695037E-07, -1.687023E-07, -1.690979E-07
0.0006, -1.624949E-07, -1.727515E-07, -1.676893E-07
0.00064, -1.560015E-07, -1.781668E-07, -1.672271E-07
0.00068, -1.514485E-07, -1.822457E-07, -1.670456E-07
0.00072, -1.523896E-07, -1.777432E-07, -1.652298E-07
0.00076, -1.648072E-07, -1.592899E-07, -1.62013E-07
0.0008, -1.798408E-07, -1.307538E-07, -1.549809E-07
0.00084, -1.881644E-07, -1.04654E-07, -1.458709E-07
0.0008799999, -1.822874E-07, -8.821644E-08, -1.346455E-07
0.00092, -1.70939E-07, -8.715808E-08, -1.285085E-07
0.00096, -1.576428E-07, -9.524908E-08, -1.260438E-07
0.0009999999, -1.474232E-07, -9.737474E-08, -1.220764E-07
0.00104, -1.409345E-07, -8.965839E-08, -1.149659E-07
0.00108, -1.385748E-07, -7.281795E-08, -1.052725E-07
0.00112, -1.394747E-07, -6.586861E-08, -1.021972E-07
0.00116, -1.372889E-07, -7.040239E-08, -1.034145E-07
0.0012, -1.333445E-07, -8.13415E-08, -1.070078E-07
0.00124, -1.265095E-07, -8.910542E-08, -1.075664E-07
0.00128, -1.246747E-07, -9.294502E-08, -1.086053E-07
0.00132, -1.267567E-07, -9.510485E-08, -1.107268E-07
0.00136, -1.328244E-07, -9.283951E-08, -1.125742E-07
0.0014, -1.34217E-07, -8.416139E-08, -1.088665E-07
0.00144, -1.335321E-07, -6.753653E-08, -1.001089E-07
0.00148, -1.283765E-07, -4.674651E-08, -8.703533E-08
0.00152, -1.245495E-07, -2.841374E-08, -7.586193E-08
0.00156, -1.167857E-07, -1.182143E-08, -6.362694E-08
0.0016, -1.058461E-07, 8.412703E-09, -4.798017E-08
0.00164, -8.411949E-08, 3.604806E-08, -2.326109E-08
0.00168, -5.542832E-08, 6.918335E-08, 7.680786E-09
0.00172, -2.454066E-08, 1.037515E-07, 4.043243E-08
0.00176, 3.255123E-09, 1.386186E-07, 7.180945E-08
0.0018, 2.921751E-08, 1.710745E-07, 1.010605E-07
0.00184, 5.277142E-08, 1.932783E-07, 1.239306E-07
0.00188, 7.137261E-08, 2.019654E-07, 1.375108E-07
0.00192, 7.508532E-08, 1.916015E-07, 1.340945E-07
0.00196, 6.268607E-08, 1.663418E-07, 1.151821E-07
0.002, 3.879062E-08, 1.333476E-07, 8.667861E-08
0.00204, 1.013295E-08, 1.016615E-07, 5.648725E-08
0.00208, -1.582799E-08, 7.044373E-08, 2.786399E-08
0.00212, -3.945367E-08, 3.36666E-08, -2.422198E-09
0.00216, -5.559612E-08, -5.488936E-09, -3.021954E-08
0.0022, -7.309452E-08, -4.100865E-08, -5.684476E-08
0.00224, -1.021549E-07, -7.278536E-08, -8.72808E-08
0.00228, -1.383643E-07, -1.038871E-07, -1.209035E-07
0.00232, -1.676809E-07, -1.371502E-07, -1.522188E-07
0.00236, -1.827648E-07, -1.593954E-07, -1.709295E-07
0.0024, -1.871958E-07, -1.746468E-07, -1.808404E-07
